"Date","End month level of yield from British Government Securities, 20 year Inflation Implied Forward              [a] [b]             IUMLIIF"
"31 Dec 24","3.1199"
"30 Nov 24","3.0938"
"31 Oct 24","3.2466"
"30 Sep 24","3.1922"
"31 Aug 24","3.107"
"31 Jul 24","3.1292"
"30 Jun 24","3.0999"
"31 May 24","3.1318"
"30 Apr 24","3.1095"
"31 Mar 24","3.049"
"29 Feb 24","3.1171"
"31 Jan 24","2.9812"
"31 Dec 23","2.9537"
"30 Nov 23","3.1459"
"31 Oct 23","3.1888"
"30 Sep 23","3.1653"
"31 Aug 23","3.1537"
"31 Jul 23","3.0447"
"30 Jun 23","3.1245"
"31 May 23","3.1998"
"30 Apr 23","3.3076"
"31 Mar 23","3.2225"
"28 Feb 23","3.3026"
"31 Jan 23","3.3766"
"31 Dec 22","3.2951"
"30 Nov 22","2.9775"
"31 Oct 22","3.1143"
"30 Sep 22","3.5135"
"31 Aug 22","3.0103"
"31 Jul 22","3.0195"
"30 Jun 22","2.9251"
"31 May 22","2.9546"
"30 Apr 22","3.0296"
"31 Mar 22","3.2588"
"28 Feb 22","3.1425"
"31 Jan 22","3.2456"
"31 Dec 21","3.1489"
"30 Nov 21","3.0081"
"31 Oct 21","3.1532"
"30 Sep 21","3.3358"
"31 Aug 21","3.3529"
"31 Jul 21","3.2782"
"30 Jun 21","3.2484"
"31 May 21","3.3659"
"30 Apr 21","3.2958"
"31 Mar 21","3.2643"
"28 Feb 21","3.176"
"31 Jan 21","2.9471"
"31 Dec 20","3.0515"
"30 Nov 20","3.0995"
"31 Oct 20","2.9461"
"30 Sep 20","2.7873"
"31 Aug 20","2.8525"
"31 Jul 20","2.8784"
"30 Jun 20","2.8918"
"31 May 20","2.7751"
"30 Apr 20","2.5807"
"31 Mar 20","2.537"
"29 Feb 20","3.1044"
"31 Jan 20","3.0698"
"31 Dec 19","3.1667"
"30 Nov 19","3.1165"
"31 Oct 19","3.1364"
"30 Sep 19","3.0615"
"31 Aug 19","3.2757"
"31 Jul 19","3.4483"
"30 Jun 19","3.5179"
"31 May 19","3.5703"
"30 Apr 19","3.6493"
"31 Mar 19","3.5577"
"28 Feb 19","3.5641"
"31 Jan 19","3.4346"
"31 Dec 18","3.5507"
"30 Nov 18","3.8005"
"31 Oct 18","3.7181"
"30 Sep 18","3.6472"
"31 Aug 18","3.5803"
"31 Jul 18","3.6011"
"30 Jun 18","3.5411"
"31 May 18","3.5386"
"30 Apr 18","3.5712"
"31 Mar 18","3.5984"
"28 Feb 18","3.6749"
"31 Jan 18","3.7694"
"31 Dec 17","3.811"
"30 Nov 17","3.8441"
"31 Oct 17","3.8139"
"30 Sep 17","3.8244"
"31 Aug 17","3.8364"
"31 Jul 17","3.817"
"30 Jun 17","3.8913"
"31 May 17","3.8773"
"30 Apr 17","4.0311"
"31 Mar 17","3.8837"
"28 Feb 17","3.8691"
"31 Jan 17","3.9741"
"31 Dec 16","3.7885"
"30 Nov 16","3.8571"
"31 Oct 16","3.9936"
"30 Sep 16","3.8142"
"31 Aug 16","3.4992"
"31 Jul 16","3.6116"
"30 Jun 16","3.7484"
"31 May 16","3.8509"
"30 Apr 16","3.9819"
"31 Mar 16","4.0169"
"29 Feb 16","4.1057"
"31 Jan 16","4.1164"
"31 Dec 15","4.207"
"30 Nov 15","4.1329"
"31 Oct 15","4.2533"
"30 Sep 15","4.1514"
"31 Aug 15","4.1689"
"31 Jul 15","4.0539"
"30 Jun 15","4.0395"
"31 May 15","4.0373"
"30 Apr 15","4.0482"
"31 Mar 15","3.929"
"28 Feb 15","3.8906"
"31 Jan 15","3.7373"
"31 Dec 14","3.8614"
"30 Nov 14","3.946"
"31 Oct 14","4.017"
"30 Sep 14","3.9351"
"31 Aug 14","3.7275"
"31 Jul 14","3.8529"
"30 Jun 14","3.989"
"31 May 14","4.0502"
"30 Apr 14","3.9878"
"31 Mar 14","4.0663"
"28 Feb 14","4.0181"
"31 Jan 14","4.0434"
"31 Dec 13","3.9074"
"30 Nov 13","4.0539"
"31 Oct 13","3.9636"
"30 Sep 13","3.9636"
"31 Aug 13","4.0046"
"31 Jul 13","4.0556"
"30 Jun 13","4.2787"
"31 May 13","4.2113"
"30 Apr 13","4.0939"
"31 Mar 13","3.9549"
"28 Feb 13","4.0266"
"31 Jan 13","4.2767"
"31 Dec 12","3.9441"
"30 Nov 12","3.8114"
"31 Oct 12","3.7682"
"30 Sep 12","3.8872"
"31 Aug 12","3.9657"
"31 Jul 12","3.8933"
"30 Jun 12","4.035"
"31 May 12","4.0926"
"30 Apr 12","4.2516"
"31 Mar 12","4.2189"
"29 Feb 12","3.9699"
"31 Jan 12","3.9291"
"31 Dec 11","4.0017"
"30 Nov 11","3.8627"
"31 Oct 11","3.7645"
"30 Sep 11","4.093"
"31 Aug 11","4.2739"
"31 Jul 11","4.1732"
"30 Jun 11","4.206"
"31 May 11","3.8944"
"30 Apr 11","3.8885"
"31 Mar 11","4.0922"
"28 Feb 11","4.1281"
"31 Jan 11","4.2103"
"31 Dec 10","4.1506"
"30 Nov 10","4.1856"
"31 Oct 10","4.1363"
"30 Sep 10","4.0666"
"31 Aug 10","4.0328"
"31 Jul 10","4.3353"
"30 Jun 10","3.9947"
"31 May 10","3.99"
"30 Apr 10","3.8927"
"31 Mar 10","4.1521"
"28 Feb 10","4.2027"
"31 Jan 10","4.0761"
